Portfolio,Strategy,Final Value,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown
Conservative,Buy & Hold,21379.995969302265,1.1292693398706506,0.09326094750137393,0.1125798065452305,0.8283985411176297,-0.2746333659588559
Conservative,Monthly Rebalancing,17894.404954153288,0.7821335363587316,0.070545941922596,0.10658308854572171,0.6618868235586305,-0.2780997263100964
Conservative,Quarterly Rebalancing,18144.694427269686,0.8070602810580441,0.07230170587001084,0.1068938887844076,0.6763876465925462,-0.2787731555225743
Conservative,Annual Rebalancing,18112.1475964048,0.8038188880676029,0.07207460482060091,0.10603247103125514,0.6797408767296907,-0.27629452213615924
Balanced,Buy & Hold,31587.76053755025,2.1395064921528513,0.14450706541685232,0.160649712090534,0.8995164917283854,-0.28710820478720966
Balanced,Monthly Rebalancing,28654.443867202903,1.8479642437193733,0.13142262893531265,0.14811026515003076,0.8873296445873343,-0.27783026419528123
Balanced,Quarterly Rebalancing,29129.63820531149,1.8951937935240424,0.13362022773393423,0.14716949803727641,0.907934249392423,-0.2786878942863249
Balanced,Annual Rebalancing,28855.61628961203,1.8679587642376854,0.13235687179160127,0.14661507317404088,0.9027507808456074,-0.27789398909914587
Aggressive,Buy & Hold,36691.64282167419,2.6430921571646033,0.1647718369424287,0.19480381058054064,0.8458347732079123,-0.2932839920970839
Aggressive,Monthly Rebalancing,35568.446398057,2.5315706289048223,0.16050735666838767,0.1882715552205964,0.8525311031734049,-0.28364069107122425
Aggressive,Quarterly Rebalancing,35872.21569015074,2.561731707573135,0.16167227661977202,0.1876960382734729,0.8613515666442342,-0.2839635833361529
Aggressive,Annual Rebalancing,35861.632102949734,2.560680869274233,0.16163183634271783,0.1874752860765974,0.8621500984224628,-0.2829718163976188
